uuid,firstName,lastName,phone,email(s)
c7a945dd-61b3-4e99-95a1-68e5c22624d3,Eva,Winters,536-284-9214,ewinters2@webmd.com,ewinters2@spotify.com
fa302d1e-bcb0-4ab1-b364-12a902846287,James,Crissman,972-541-3124,jcrissman3@outlook.com
118c68be-6fa1-4684-843f-f72fe77b5491,Olivia,Brennan,473-359-5782,obrennan7@gmail.com,obrennan7@linkedin.com
3c82635d-d7f2-4f89-8b2e-8df0e9821ae0,Isaac,Garcia,412-982-4782
5a52fe3b-2a5e-4c15-9f82-249d091f2d9e,Sophia,Hayes,267-454-1793,shayes1@live.com,shayes1@dropbox.com
a18c28b9-6c79-40b7-94a5-ea075b31fa91,Ryan,Delaney,439-572-9281,rdelaney9@flickr.com,rdelaney9@lastfm.com
1bca19b7-3b72-4699-bc60-d3e13d72a00f,Zoe,McClain,527-342-7634,zmcclain7@ebay.com,zmcclain7@apple.com
f2c10ba9-b49a-42b4-8e71-8e87076267b0,Liam,Robinson,710-594-1203,lrobinson8@outlook.com,lrobinson8@w3.org
d9bb5e0b-89fa-4a5d-a5ec-0132f118dd6a,Riley,McLain,659-784-1209
aec587f1-0f4d-48ff-95c9-0a14e9b7889f,Amanda,Peterson,640-298-4181,apeterson9@wordpress.com,apeterson9@amazon.com
